"SA1_MAINCODE_2016","CED_CODE_2017","CED_NAME_2017","STATE_CODE_2017","STATE_NAME_2017","AREA_ALBERS_SQKM"
"11901136023","101","Banks","1","New South Wales",0.0971
"11901136024","101","Banks","1","New South Wales",0.1329
"11901136025","101","Banks","1","New South Wales",0.076
"11901136026","101","Banks","1","New South Wales",0.1427
"11901136027","101","Banks","1","New South Wales",0.1358
"11901136028","101","Banks","1","New South Wales",0.1659
"11901136029","101","Banks","1","New South Wales",0.1767
"11901136030","101","Banks","1","New South Wales",0.1079
"11901136031","101","Banks","1","New South Wales",0.0959
"11901136032","101","Banks","1","New South Wales",0.1374
"11901136033","101","Banks","1","New South Wales",0.1856
"11901136034","101","Banks","1","New South Wales",0.1615
"11901136035","101","Banks","1","New South Wales",0.1345
"11903136901","101","Banks","1","New South Wales",0.0743
"11903136902","101","Banks","1","New South Wales",0.1567
"11903136903","101","Banks","1","New South Wales",0.075
"11903136904","101","Banks","1","New South Wales",0.5062
"11903136905","101","Banks","1","New South Wales",0.0423
"11903136906","101","Banks","1","New South Wales",0.0427
"11903136907","101","Banks","1","New South Wales",0.0433
"11903136908","101","Banks","1","New South Wales",0.0425
"11903136909","101","Banks","1","New South Wales",0.0854
"11903136910","101","Banks","1","New South Wales",0.0868
"11903136911","101","Banks","1","New South Wales",0.1239
"11903136912","101","Banks","1","New South Wales",0.1374
"11903136913","101","Banks","1","New South Wales",0.115
"11903136914","101","Banks","1","New South Wales",0.3037
"11903136915","101","Banks","1","New South Wales",0.1208
"11903136916","101","Banks","1","New South Wales",0.1873
"11903136917","101","Banks","1","New South Wales",0.1396
"11903136918","101","Banks","1","New South Wales",0.1974
"11903136919","101","Banks","1","New South Wales",0.1129
"11903136920","101","Banks","1","New South Wales",0.0319
"11903136921","101","Banks","1","New South Wales",0.053
"11903136922","101","Banks","1","New South Wales",0.1036
"11903136923","101","Banks","1","New South Wales",0.123
"11903136924","101","Banks","1","New South Wales",0.0549
"11903136925","101","Banks","1","New South Wales",0.078
"11903136926","101","Banks","1","New South Wales",0.0497
"11903136927","101","Banks","1","New South Wales",0.0545
"11903136928","101","Banks","1","New South Wales",0.0495
"11903136929","101","Banks","1","New South Wales",0.0761
"11903136930","101","Banks","1","New South Wales",0.0334
"11903136931","101","Banks","1","New South Wales",0.1028
"11903136932","101","Banks","1","New South Wales",0.08
"11903136933","101","Banks","1","New South Wales",0.1145
"11903136934","101","Banks","1","New South Wales",0.1016
"11903136935","101","Banks","1","New South Wales",0.1294
"11903136936","101","Banks","1","New South Wales",0.1301
"11903136937","101","Banks","1","New South Wales",0.1322
"11903136938","101","Banks","1","New South Wales",0.092
"11903136939","101","Banks","1","New South Wales",0.1172
"11903136940","101","Banks","1","New South Wales",0.0695
"11903136941","101","Banks","1","New South Wales",0.2068
"11903136942","101","Banks","1","New South Wales",0.2089
"11903136943","101","Banks","1","New South Wales",0.0689
"11903136944","101","Banks","1","New South Wales",0.0981
"11903136945","101","Banks","1","New South Wales",0.1681
"11903136946","101","Banks","1","New South Wales",0.167
"11903136947","101","Banks","1","New South Wales",0.4374
"11903136948","101","Banks","1","New South Wales",0.1349
"11903136949","101","Banks","1","New South Wales",0.0669
"11903136950","101","Banks","1","New South Wales",0.1893
"11903137002","101","Banks","1","New South Wales",0.1097
"11903137003","101","Banks","1","New South Wales",0.0692
"11903137004","101","Banks","1","New South Wales",0.0884
"11903137005","101","Banks","1","New South Wales",0.0908
"11903137006","101","Banks","1","New South Wales",0.0842
"11903137007","101","Banks","1","New South Wales",0.043
"11903137008","101","Banks","1","New South Wales",0.0419
