district,link,name,party,phonenumber,twitter
"Wills, Victoria",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=101351,Mr Peter Khalil MP,Australian Labor Party,(03) 9350 5777,http://twitter.com/PeterKhalilMP
"Tangney, Western Australia",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=265931,Mr Ben Morton MP,Liberal Party of Australia,(08) 9354 9633,
"Cook, New South Wales",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=E3L,Hon Scott Morrison MP,Liberal Party of Australia,(02) 9523 0339,http://twitter.com/ScottMorrisonMP
"McEwen, Victoria",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=M3E,Mr Rob Mitchell MP,Australian Labor Party,(03) 9333 0440,http://twitter.com/#!/RobMitchellMP
"Lyons, Tasmania",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=129164,Mr Brian Mitchell MP,Australian Labor Party,,https://twitter.com/brianmitchellmp
"Groom, Queensland",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=125865,Hon Dr John McVeigh MP,Liberal Party of Australia,(07) 4632 4144,
"Indi, Victoria",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=123674,"Ms Cathy McGowan AO, MP",Independent,,https://twitter.com/Indigocathy
"Riverina, New South Wales",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=219646,Hon Michael McCormack MP,The Nationals,,http://twitter.com/M_McCormackMP
"Dobell, New South Wales",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=248353,Ms Emma McBride MP,Australian Labor Party,(02) 4353 0127,
"Corio, Victoria",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HWQ,Hon Richard Marles MP,Australian Labor Party,(03) 5221 3033,https://twitter.com/RichardMarlesMP
"Farrer, New South Wales",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=00AMN,Hon Sussan Ley MP,Liberal Party of Australia,,http://twitter.com/sussanley
"Moreton, Queensland",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HVP,Mr Graham Perrett MP,Australian Labor Party,(07) 3344 2622,http://www.twitter.com/GrahamPerrettMP
"Barker, South Australia",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=240756,Mr Tony Pasin MP,Liberal Party of Australia,,
"Parramatta, New South Wales",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=E09,Ms Julie Owens MP,Australian Labor Party,(02) 9689 1455,http://twitter.com/JulieOwensMP
"Herbert, Queensland",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=249908,Ms Cathy O'Toole MP,Australian Labor Party,(07) 4725 2066,
"Hotham, Victoria",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=140590,Ms Clare O'Neil MP,Australian Labor Party,(03) 9545 6211,https://twitter.com/ClareONeilMP
"Higgins, Victoria",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=LKU,Hon Kelly O'Dwyer MP,Liberal Party of Australia,(03) 9822 4422,http://twitter.com/kellyodwyer
"Hinkler, Queensland",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=148150,Hon Keith Pitt MP,The Nationals,(07) 4152 0744,
"Gorton, Victoria",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=00AN3,Hon Brendan O'Connor MP,Australian Labor Party,(03) 8390 6166,
"Lindsay, New South Wales",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=263328,Ms Emma Husar MP,Australian Labor Party,(02) 4722 0600,
"Maribyrnong, Victoria",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=00ATG,Hon Bill Shorten MP,Australian Labor Party,(03) 9326 1300,http://twitter.com/billshortenmp
"Lalor, Victoria",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=249224,Ms Joanne Ryan MP,Australian Labor Party,(03) 9742 5800,https://twitter.com/JoanneRyanLalor
"Greenway, New South Wales",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=159771,Ms Michelle Rowland MP,Australian Labor Party,(02) 9671 4780,http://twitter.com/MRowlandMP
"Fadden, Queensland",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HWT,Hon Stuart Robert MP,Liberal Party of Australia,(07) 5500 5919,http://twitter.com/stuartrobertmp
